,Name,Contact,Category,Years in Business
53,Reign by Lady T - Events & Branding,(213) 278-7905,Party & Event Planners,9YEARSIN BUSINESS
54,Get Dapper,(323) 762-5987,Party & Event Planners,11YEARSIN BUSINESS
55,A Day Of Your Life,(310) 598-7475,Party & Event Planners,26YEARSIN BUSINESS
56,Our imagination Creation,(323) 307-1505,Party & Event Planners,None
57,Party Design By Dina,(323) 464-4915,Party & Event Planners,None
58,The Best Wedding,(323) 350-3055,Party & Event Planners,None
59,Office Space Jorge,(818) 310-1574,Party & Event Planners,10YEARSIN BUSINESS
60,J Alexis Events & Consulting,(323) 330-9546,Party & Event Planners,None
61,Party Staff Inc,(323) 933-3900,Party & Event Planners,29YEARSIN BUSINESS
62,MyRay Creativeness,(213) 631-8920,Party & Event Planners,None
63,Cinematic Pictures Group,(323) 745-0662,Party & Event Planners,None
64,Bolthouse Productions,(323) 848-9300,Party & Event Planners,None
65,Luna Gardens Floral Design,(310) 281-2565,Party & Event Planners,None
66,Sparkle & Shine Body Art,(310) 210-5193,Party & Event Planners,None
67,A+SMITH Creations,(310) 849-7629,Party & Event Planners,8YEARSIN BUSINESS
68,The Heart Bandits,(714) 366-5933,Party & Event Planners,None
69,Abbey Road Events,(310) 649-4040,Party & Event Planners,21YEARSIN BUSINESS
70,Designer Event Rentals,(310) 857-6224,Party & Event Planners,None
71,PBC Events Los Angeles Party Planners,(323) 938-7121,Party & Event Planners,41YEARSIN BUSINESS
72,Unique Space,(213) 486-9821,Party & Event Planners,None
73,My Game Truck Rolling Video Games,(323) 480-4868,Party & Event Planners,9YEARSIN BUSINESS
74,Charles Party Rents,(213) 483-5057,Party & Event Planners,None
75,Odd Fellow,(213) 746-4490,Party & Event Planners,75YEARSIN BUSINESS
76,Big & Tiny,(213) 674-7630,Party & Event Planners,None
77,MyDesign,(213) 595-6950,Party & Event Planners,11YEARSIN BUSINESS
78,Spirited Group Iv,(213) 263-2709,Party & Event Planners,None
79,Dis Events Inc,(213) 389-3472,Party & Event Planners,None
80,Champion Site + Sound,(323) 661-0346,Party & Event Planners,None
81,Hernandez Party Supplies & Rentals,(855) 727-8906,Party & Event Planners,None
82,JEANNETT PARTY SUPPLY,(323) 733-1660,Party & Event Planners,17YEARSIN BUSINESS
83,Runway Waiters,(310) 994-6231,Party & Event Planners,11YEARSIN BUSINESS
84,Grant Associates,(323) 904-4400,Party & Event Planners,29YEARSIN BUSINESS
85,The Silverbelles Holiday Carolers,(818) 985-5627,Party & Event Planners,25YEARSIN BUSINESS
86,Shiraz Events,(323) 466-5020,Party & Event Planners,None
87,Event Eleven,(323) 549-9980,Party & Event Planners,46YEARSIN BUSINESS
88,Fabulous Inc,(323) 944-0744,Party & Event Planners,None
89,Event Works,(310) 323-1268,Party & Event Planners,9YEARSIN BUSINESS
90,Arzt Group,(310) 470-8456,Party & Event Planners,19YEARSIN BUSINESS
